File Name,Wave-UNet,OpenUnmix,Spleeters,Demucs
Haruna-Ishola-OrokiSocialClub5,https://drive.google.com/file/d/12XeR37abGFirTpwQcvH5BmkOsjh14DUR/preview,https://drive.google.com/file/d/13JkNeobmNZuMGooiRe-37kqpQhH7jDxM/preview,https://drive.google.com/file/d/10rynHySGE8QtPhumzPey5hNP-Xn1qpom/preview,https://drive.google.com/file/d/164h6In5fJCT20yYWjQ4S6I6ToMFXkaYQ/preview
Haruna-Ishola-OrokiSocialClub6,https://drive.google.com/file/d/1-ZCXgS-8_jX-Y6VVgRZiXSywaSMylAy9/preview,https://drive.google.com/file/d/11q3ue9vVEehU27HuvN-qVOM5mXqotX_H/preview,https://drive.google.com/file/d/1-sLPVazxTZNAmUrGLIY9CrSjIZNWLCee/preview,https://drive.google.com/file/d/13KmNoLlq0WAxJYmU7YIf04kfhBcMBC1T/preview
Jimi-Solanke-BaRẹNíJọYèO,https://drive.google.com/file/d/15sB_RuvJwnv5YvQ9mS-KMpKPOF-MOY0I/preview,https://drive.google.com/file/d/11xJk3_tmjzL9UqnJ3jWvxrZZLgNZiRjA/preview,https://drive.google.com/file/d/11NsX56DmMLIasyeZ1QGw6loeC7D-o2ea/preview,https://drive.google.com/file/d/10JXuc9TP5fq0MBD1uU1xFOfICVb7BkFj/preview
Jimmy-Solanke-EJeKaJo1,https://drive.google.com/file/d/15jA8MU09hSJzybdDROc0c1PBNhh3CXBS/preview,https://drive.google.com/file/d/1-nVK5RxAuml2Chg6gYjsgKzNW1fg5Tah/preview,https://drive.google.com/file/d/102GeZ1ynWTswHKuq07O8BNaiNLY80wdM/preview,https://drive.google.com/file/d/14QErIl7EQ1oMRhiizZTTgDdKLtiF5EOm/preview
Kayode-Fashola-BiPepeyeBaJokuta1,https://drive.google.com/file/d/1-csNoge9ZgXgv_l3dVfqLTukQm6xtJ6q/preview,https://drive.google.com/file/d/11pCcXakx-f5QDLYZyEEiaoPNqGau_4xf/preview,https://drive.google.com/file/d/10AkncZzLMk4AFjLvt68l0axKnTozM9JC/preview,https://drive.google.com/file/d/15vMG7OeIrxaBJFdt_DacliLe_8tsjwqa/preview
Kayode-Fashola-BiPepeyeBaJokuta3,https://drive.google.com/file/d/16UGpReGI6GB496cIMWmawtdwg7TyqLIN/preview,https://drive.google.com/file/d/1-33jErJm_bPcVDuX2fMU_UB4ynXtZaMK/preview,https://drive.google.com/file/d/10Z9VOIS9E430TbyOtWryi_ATxpvo_Smw/preview,https://drive.google.com/file/d/11Ukbq4fP6jgkvLGPxIIojEwS5BWKk90K/preview
Kayode-Fashola-RantiomoEniTiwoNSe2,https://drive.google.com/file/d/11DbG7ZjFE2CnyBKJVwu0kp_SrBHqVvoK/preview,https://drive.google.com/file/d/13-ByHmiIlzxsmPPjT6ccg0x0DwU_pQxT/preview,https://drive.google.com/file/d/10jgWJLGXz7iAKNrsHDRSc9JGwuMwxC7f/preview,https://drive.google.com/file/d/10rCmlJIJFkd9LhihhVEa-A3lfoeSC7JV/preview
KayodeFashola-RantiomoEniTiwoNSe1,https://drive.google.com/file/d/11SrIEzKCZ038BYwb6JEi6aMvh5MDEdhK/preview,https://drive.google.com/file/d/1-WDIpeOpXKPuQFZQ090m7WxqamhFLrRl/preview,https://drive.google.com/file/d/107rp2NakXvisUL8YPgEMRqpwnqD3xBEB/preview,https://drive.google.com/file/d/1-LXoYIrg-N1MH0hkbgTeR1i_LtkXDksb/preview
Lagbaja-FeyinE1,https://drive.google.com/file/d/11ve-_4CQW-AWXZonC7MDpV8QaYIiR9-m/preview,https://drive.google.com/file/d/12aV_VgqsbCnhsDyacAiInYCnbBDOvhGg/preview,https://drive.google.com/file/d/1158HJxR-j5Dm0c4nxpfcglN4GVwxN4Bm/preview,https://drive.google.com/file/d/12df_sncmVYsflB1feMG-_EVtnlBFK5oa/preview
Lgbaja-TounTerin1,https://drive.google.com/file/d/178dm7HtK68EZSqwqP1MUewtss9FOYS0W/preview,https://drive.google.com/file/d/12Q--0rtg5dBrdSoaPtAe3N8K49OVs1mC/preview,https://drive.google.com/file/d/11My5l8_2CPYrCpiVgr4wittch1EEBsnR/preview,https://drive.google.com/file/d/159UHoUlachDbRxcWlzhZnmj8PS1mJ-YG/preview
Lgbaja-TounTerin2,https://drive.google.com/file/d/1-FpBMI2CT2Z7ICN5JBKpdL0q_V5GoSdG/preview,https://drive.google.com/file/d/13ZM3e2y1z3ZjaPIbe6mPDm6pWXin5ZYL/preview,https://drive.google.com/file/d/10HwU0W0cTCTbILKiG-aOuMiPSpjoZvOM/preview,https://drive.google.com/file/d/13p0yDyaw-6AVhSRHqRj1b12QCugpb3HC/preview
Musilihu-Ishola-IseOluwa1,https://drive.google.com/file/d/169ypxxy2vE_cFeg7p8oolv-arFikS7mG/preview,https://drive.google.com/file/d/10rXWjt89lzEQGdFwAyqmc8C9QNhIfcWn/preview,https://drive.google.com/file/d/11JShPs9i0pRwh2UyaDoEKPY5a6pOgQt1/preview,https://drive.google.com/file/d/13ndOhVv4WhKi_Cv8nCvrFTlI2vI-fwP7/preview
Musilihu-Ishola-IseOluwa2,https://drive.google.com/file/d/13H0TWiPdWSLL0W3VEXzmmJ8U5pKrrFCz/preview,https://drive.google.com/file/d/141bmWLpX4oHPbE9stLi1X-GiTmEfskWN/preview,https://drive.google.com/file/d/103Ty_GzntvjinJdGK-76EPhsBR0OLN-a/preview,https://drive.google.com/file/d/11aQu8ivADpwF-IXbV21AHTTI8Ak04PEQ/preview
Musilihu-Ishola-OponApala1,https://drive.google.com/file/d/11ZVBkeQ5J_Q5aTu4XdhBBdrVasa4ZmDR/preview,https://drive.google.com/file/d/14Ohx2p0OmuytwzIeajxYdn7a3z8Wb_hJ/preview,https://drive.google.com/file/d/11J4Un-XaQXlNVsTIjIetoQXja24VWY3N/preview,https://drive.google.com/file/d/13xZ-iurmfhIO_8jkg6mhUOpA1YzlFFWx/preview
Musilihu-Ishola-OponApala2,https://drive.google.com/file/d/13YGVtmA2JbvabOFfLbr4eI9k1sHWxZ6a/preview,https://drive.google.com/file/d/112QYCwZMVVkpi-givRmjsUn02xdqDenF/preview,https://drive.google.com/file/d/10pSexy1xVlT7_U7z36ETysu5AZjqE2Ma/preview,https://drive.google.com/file/d/12hf-NUB6cJWjDbOF-eKsVj7SIuyY0VMe/preview
Shina-Peters-Shinamania1,https://drive.google.com/file/d/15IVQbz99P276U7WEtG_st_V3FfPiStDQ/preview,https://drive.google.com/file/d/14nhz8p396XBO7p-c85zQwNlTlskLLxwL/preview,https://drive.google.com/file/d/10cD7MgNqjWfPWnhcGbKNcYtfhLp83bWJ/preview,https://drive.google.com/file/d/13WagQopQoAs2_dlhYw_5asUG1aMES3Pi/preview
Shina-Peters-Shinamania2,https://drive.google.com/file/d/115KJvXxGZgAXWE90lJWiYvBS2JbQfiNT/preview,https://drive.google.com/file/d/12DLQb3yj5ABmipKQOJMw351w65oCiIY-/preview,https://drive.google.com/file/d/10b0cN-6msb7dKjkr-9mJvR7hru6zsOLi/preview,https://drive.google.com/file/d/14n-MZyLixo_1IJ-PtaLxYq1lOeiclfhF/preview
Shina-Peters-Shinamania3,https://drive.google.com/file/d/11eYFBfwE60nch10yQc7EyWo6i4Q5ZSQL/preview,https://drive.google.com/file/d/10_e5neXszfCf9oUV5r-TCbbgy9r1v17w/preview,https://drive.google.com/file/d/10Ug2WE78jn1-iFwZi_oiqKy_YwavWjDF/preview,https://drive.google.com/file/d/10Y_pq6M2XJNpC5-5gnafWYitimnqP1P8/preview
Tunji-Oyelana-OketeOMaYinboSoloko,https://drive.google.com/file/d/151ZENQ84k_uqwBFJ4H6bOgsFyR20AGp2/preview,https://drive.google.com/file/d/11Uiz-6WvCFy_FXa9j1Uwb7RQI-Im9LV1/preview,https://drive.google.com/file/d/10Hq-BFWP216DgBOfo0bRr4NuRwnkQAGN/preview,https://drive.google.com/file/d/16R29r-WCJ4JY0EdYJr_StUoUQVeNS6To/preview
Wasiu-Ayinde-IyonuOlorun1,https://drive.google.com/file/d/14Tv2iMUYxlGDH0pGLivIuj55yzyepf-a/preview,https://drive.google.com/file/d/1-pyasGt_HlSl3LCyJI7attae5v_PzLy2/preview,https://drive.google.com/file/d/10FhvC5En4Kz0RNStdR9dYWULyLPmt_Yv/preview,https://drive.google.com/file/d/14dm59tjCOqV0LvHseVALQ3k5GTAB2q-b/preview
small_peoples_anthem,https://drive.google.com/file/d/12pHThP8WD_1OBDHaXZLiTgBKFVVJulzX/preview,https://drive.google.com/file/d/13bWB3MCl-aEUSWwEKn3oy9vbqgiIIuTK/preview,https://drive.google.com/file/d/11St__efy7jR-1q5BIO8M7GJY0Y900Jl3/preview,https://drive.google.com/file/d/1-gyfY9loX1_5t7p5VpjSrpwqRp0VxcwL/preview
,,,,
Use a sheet automated with AppScript here,https://docs.google.com/spreadsheets/d/1e3Zt8qYta7QeHjyYvrrA8BiPJmeSxIZVsnzMP-Cl0LM/edit?usp=sharing/copy,,,
